congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
98,President,99907,99,0,USA,200,0,0,"REAGAN, Ronald Wilson",,1911.0,2004.0,0.692,-0.713,-91.60017,0.751,320,45,,,
98,House,10717,41,2,AL,200,0,1,"DICKINSON, William Louis",D000326,1925.0,2008.0,0.398,-0.057,-431.68569,0.554,731,187,,0.388,-0.47
98,House,10721,41,1,AL,200,0,1,"EDWARDS, William Jackson (Jack)",E000084,1928.0,2019.0,0.177,0.161,-265.03111,0.682,693,134,,0.141,0.098
98,House,11000,41,4,AL,100,0,1,"BEVILL, Tom",B000431,1921.0,2005.0,-0.213,0.976,-151.82307,0.809,717,56,,-0.232,0.973
98,House,11037,41,3,AL,100,0,1,"NICHOLS, William Flynt",N000095,1918.0,1988.0,-0.042,0.872,-207.06857,0.747,710,102,,-0.026,0.793
98,House,14419,41,5,AL,100,0,1,"FLIPPO, Ronnie Gene",F000208,1937.0,,-0.175,0.834,-167.65901,0.795,730,66,,-0.191,0.962
98,House,14659,41,7,AL,100,0,1,"SHELBY, Richard C.",S000320,1934.0,,0.013,0.658,-278.12467,0.685,734,137,,0.029,0.575
98,House,15022,41,6,AL,100,0,1,"ERDREICH, Ben",E000201,1938.0,,-0.06,0.372,-223.0014,0.751,780,98,,-0.076,0.532
98,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933.0,2022.0,0.283,0.022,-448.57591,0.51852,683,200,,0.216,-0.301
98,House,10566,61,2,AZ,100,0,1,"UDALL, Morris King",U000001,1922.0,1998.0,-0.387,0.008,-117.86859,0.848,715,50,,-0.372,0.09
98,House,14449,61,4,AZ,200,0,1,"RUDD, Eldon Dean",R000495,1920.0,2002.0,0.422,0.611,-201.46644,0.755,717,93,,0.405,0.676
98,House,14454,61,3,AZ,200,0,1,"STUMP, Robert Lee",S001044,1927.0,2003.0,0.703,0.203,-190.20851,0.774,744,68,,0.653,0.652
98,House,15039,61,1,AZ,200,0,1,"McCAIN, John Sidney, III",M000303,1936.0,2018.0,0.381,-0.626,-287.99226,0.67107,722,131,,0.349,0.034
98,House,15043,61,5,AZ,100,0,1,"McNULTY, James Francis, Jr.",M000589,1925.0,2009.0,-0.296,0.052,-167.72287,0.796,736,72,,-0.294,0.048
98,House,11020,42,3,AR,200,0,1,"HAMMERSCHMIDT, John Paul",H000124,1922.0,2015.0,0.253,0.239,-253.48704,0.709,736,121,,0.219,0.351
98,House,12000,42,1,AR,100,0,1,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1934.0,,-0.41,0.819,-119.66854,0.818,595,50,,-0.456,0.736
98,House,14601,42,4,AR,100,0,1,"ANTHONY, Beryl Franklin, Jr.",A000213,1938.0,2025.0,-0.254,0.484,-207.86228,0.737,682,110,,-0.198,0.35
98,House,14606,42,2,AR,200,0,1,"BETHUNE, Edwin Ruthvin, Jr.",B000422,1935.0,,0.304,-0.165,-226.91024,0.709,660,96,,0.314,-0.267
98,House,10573,71,36,CA,100,0,1,"BROWN, George Edward, Jr.",B000918,1920.0,1999.0,-0.506,-0.028,-113.20667,0.856,728,47,,-0.479,-0.054
98,House,10577,71,5,CA,100,1,1,"BURTON, Phillip",B001156,1926.0,1983.0,-0.634,-0.304,-3.15598,0.916,36,1,,-0.595,0.637
98,House,10583,71,10,CA,100,0,1,"EDWARDS, William Donlon (Don)",E000064,1915.0,2015.0,-0.599,-0.419,-131.59825,0.843,771,46,,-0.539,-0.37
98,House,10595,71,29,CA,100,0,1,"HAWKINS, Augustus Freeman (Gus)",H000367,1907.0,2007.0,-0.517,-0.369,-162.44442,0.778,646,64,,-0.572,-0.563
98,House,10621,71,25,CA,100,0,1,"ROYBAL, Edward R.",R000485,1916.0,2005.0,-0.61,-0.141,-100.04616,0.873,739,31,,-0.618,-0.067
98,House,12001,71,32,CA,100,0,1,"ANDERSON, Glenn Malcolm",A000189,1913.0,1994.0,-0.269,-0.052,-369.37073,0.621,776,149,,-0.141,-0.134
