congress,chamber,rollnumber,icpsr,cast_code,prob
98,House,1,633,1,99.1
98,House,1,830,1,99.9
98,House,1,1077,1,100.0
98,House,1,1087,6,98.5
98,House,1,2009,6,74.1
98,House,1,2605,1,100.0
98,House,1,3078,1,100.0
98,House,1,5101,1,100.0
98,House,1,5495,6,99.8
98,House,1,6455,8,99.8
98,House,1,6845,1,100.0
98,House,1,7081,8,100.0
98,House,1,7333,1,100.0
98,House,1,7343,1,100.0
98,House,1,7610,1,100.0
98,House,1,8010,1,100.0
98,House,1,8080,1,100.0
98,House,1,8672,1,100.0
98,House,1,9017,1,99.3
98,House,1,10075,1,100.0
98,House,1,10391,1,100.0
98,House,1,10421,1,100.0
98,House,1,10463,1,100.0
98,House,1,10500,1,100.0
98,House,1,10520,1,100.0
98,House,1,10561,1,100.0
98,House,1,10566,1,100.0
98,House,1,10573,1,100.0
98,House,1,10574,6,96.0
98,House,1,10577,1,100.0
98,House,1,10583,1,100.0
98,House,1,10587,1,100.0
98,House,1,10588,1,99.9
98,House,1,10595,1,100.0
98,House,1,10596,6,53.6
98,House,1,10601,1,100.0
98,House,1,10602,1,100.0
98,House,1,10607,6,85.0
98,House,1,10609,1,99.9
98,House,1,10614,1,100.0
98,House,1,10616,6,85.7
98,House,1,10621,1,100.0
98,House,1,10626,6,84.8
98,House,1,10703,1,100.0
98,House,1,10712,6,100.0
98,House,1,10713,1,100.0
98,House,1,10716,1,100.0
98,House,1,10717,6,99.8
98,House,1,10719,6,74.6
98,House,1,10721,6,73.3
98,House,1,10722,6,99.9
98,House,1,10726,1,100.0
98,House,1,10727,1,100.0
98,House,1,10732,1,98.6
98,House,1,10734,6,99.9
98,House,1,10739,1,100.0
98,House,1,10742,1,29.2
98,House,1,10760,9,99.0
98,House,1,10768,1,100.0
98,House,1,10788,1,100.0
98,House,1,10794,6,98.4
98,House,1,11000,1,100.0
98,House,1,11020,6,86.6
98,House,1,11023,1,100.0
98,House,1,11034,6,100.0
98,House,1,11035,1,98.5
98,House,1,11036,6,82.3
98,House,1,11037,1,99.4
98,House,1,11057,6,95.5
98,House,1,11058,6,96.2
98,House,1,11067,1,100.0
98,House,1,12000,1,100.0
98,House,1,12001,1,99.9
98,House,1,12003,1,100.0
98,House,1,12007,1,99.9
98,House,1,12009,1,99.6
98,House,1,12010,6,99.9
98,House,1,12011,1,77.3
98,House,1,12013,6,83.4
98,House,1,12022,6,97.5
98,House,1,12030,1,100.0
98,House,1,12033,6,91.2
98,House,1,12035,1,99.4
98,House,1,12036,1,100.0
98,House,1,12038,1,100.0
98,House,1,12041,6,100.0
98,House,1,12042,1,100.0
98,House,1,12046,6,100.0
98,House,1,13002,9,99.8
98,House,1,13003,1,99.9
98,House,1,13011,1,100.0
98,House,1,13015,6,100.0
98,House,1,13018,9,88.7
98,House,1,13020,6,99.1
98,House,1,13021,6,94.7
98,House,1,13024,1,99.2
98,House,1,13029,6,74.2
98,House,1,13031,1,99.8
98,House,1,13035,1,100.0
98,House,1,13036,6,92.2
98,House,1,13040,1,100.0
98,House,1,13042,6,96.1
98,House,1,13047,6,99.4
98,House,1,13056,1,99.9
98,House,1,14001,1,99.9
98,House,1,14015,6,76.1
98,House,1,14021,6,99.2
98,House,1,14026,1,99.3
98,House,1,14029,1,100.0
98,House,1,14031,6,98.8
98,House,1,14033,6,99.4
98,House,1,14035,9,99.7
98,House,1,14039,1,100.0
98,House,1,14040,6,100.0
98,House,1,14041,6,89.2
98,House,1,14043,6,99.1
98,House,1,14044,6,95.6
98,House,1,14045,6,97.2
98,House,1,14046,6,66.9
98,House,1,14048,1,100.0
98,House,1,14051,1,71.8
98,House,1,14052,6,99.4
98,House,1,14053,1,100.0
98,House,1,14055,1,99.9
98,House,1,14057,6,89.1
98,House,1,14062,1,100.0
98,House,1,14066,6,96.9
98,House,1,14067,1,100.0
98,House,1,14068,1,100.0
98,House,1,14070,1,98.1
98,House,1,14071,6,99.9
98,House,1,14072,1,100.0
98,House,1,14075,1,100.0
98,House,1,14201,1,97.3
98,House,1,14205,1,94.3
98,House,1,14208,1,100.0
98,House,1,14210,1,98.9
98,House,1,14212,1,99.9
98,House,1,14214,1,99.9
98,House,1,14216,1,98.4
98,House,1,14217,1,97.9
98,House,1,14219,1,98.2
98,House,1,14223,1,100.0
98,House,1,14224,1,100.0
98,House,1,14225,6,98.9
98,House,1,14230,1,99.5
98,House,1,14233,1,100.0
98,House,1,14234,1,99.8
98,House,1,14237,1,97.7
98,House,1,14238,1,95.7
98,House,1,14239,6,99.5
98,House,1,14240,6,84.5
98,House,1,14245,6,99.9
98,House,1,14248,1,100.0
98,House,1,14249,1,92.0
98,House,1,14251,1,98.4
98,House,1,14252,9,0.1
98,House,1,14253,1,99.9
98,House,1,14256,1,100.0
98,House,1,14257,1,100.0
98,House,1,14259,6,88.8
98,House,1,14262,1,99.0
98,House,1,14264,1,100.0
98,House,1,14265,1,100.0
98,House,1,14266,1,100.0
98,House,1,14271,9,98.0
98,House,1,14273,6,97.1
98,House,1,14274,1,95.1
98,House,1,14275,1,100.0
98,House,1,14276,6,92.8
98,House,1,14277,1,100.0
98,House,1,14280,1,100.0
98,House,1,14281,1,98.6
98,House,1,14282,1,99.6
98,House,1,14284,9,97.1
98,House,1,14288,6,100.0
98,House,1,14289,1,99.8
98,House,1,14290,6,100.0
98,House,1,14291,1,96.6
98,House,1,14400,1,100.0
98,House,1,14402,1,98.0
98,House,1,14403,9,100.0
98,House,1,14404,1,98.4
98,House,1,14405,1,99.9
98,House,1,14407,1,100.0
98,House,1,14410,6,99.1
98,House,1,14411,6,99.7
98,House,1,14413,1,100.0
98,House,1,14415,9,99.8
98,House,1,14419,1,100.0
98,House,1,14421,1,100.0
98,House,1,14422,1,95.1
98,House,1,14423,1,100.0
98,House,1,14425,9,100.0
98,House,1,14427,1,96.3
98,House,1,14429,1,99.8
98,House,1,14430,1,100.0
98,House,1,14431,1,98.3
98,House,1,14432,9,99.2
98,House,1,14435,1,100.0
98,House,1,14437,6,99.9
98,House,1,14438,6,93.7
98,House,1,14440,1,100.0
98,House,1,14441,1,74.9
98,House,1,14443,1,100.0
98,House,1,14444,9,99.6
98,House,1,14445,1,99.7
98,House,1,14446,6,96.0
98,House,1,14448,1,100.0
98,House,1,14449,6,93.1
98,House,1,14450,6,92.0
98,House,1,14451,1,100.0
98,House,1,14454,6,100.0
98,House,1,14458,1,100.0
98,House,1,14459,1,99.9
98,House,1,14460,1,98.9
98,House,1,14461,6,100.0
98,House,1,14462,1,99.9
98,House,1,14463,1,100.0
98,House,1,14464,1,100.0
98,House,1,14465,1,100.0
98,House,1,14466,6,99.8
98,House,1,14467,1,99.9
98,House,1,14469,6,97.7
98,House,1,14470,1,100.0
98,House,1,14471,6,71.0
98,House,1,14600,1,100.0
98,House,1,14601,1,100.0
98,House,1,14604,1,99.5
98,House,1,14605,6,98.9
98,House,1,14606,6,99.3
98,House,1,14607,1,100.0
98,House,1,14608,1,97.4
98,House,1,14609,6,96.6
98,House,1,14610,6,99.6
98,House,1,14611,6,100.0
98,House,1,14612,9,93.4
98,House,1,14613,1,100.0
98,House,1,14614,6,99.8
98,House,1,14615,6,100.0
98,House,1,14616,6,100.0
98,House,1,14617,1,100.0
98,House,1,14618,6,72.4
98,House,1,14620,1,100.0
98,House,1,14621,1,99.9
98,House,1,14624,9,100.0
98,House,1,14625,1,100.0
98,House,1,14626,1,100.0
98,House,1,14627,6,99.9
98,House,1,14628,1,0.0
98,House,1,14629,1,100.0
98,House,1,14631,1,99.9
98,House,1,14632,1,100.0
98,House,1,14633,1,99.2
98,House,1,14635,6,99.8
98,House,1,14636,1,98.2
98,House,1,14638,1,100.0
98,House,1,14639,6,99.9
98,House,1,14641,1,97.3
98,House,1,14643,1,100.0
98,House,1,14644,6,99.6
98,House,1,14645,6,99.1
98,House,1,14646,1,99.8
98,House,1,14647,6,100.0
98,House,1,14648,1,99.9
98,House,1,14649,1,100.0
98,House,1,14650,1,100.0
98,House,1,14651,1,99.9
98,House,1,14652,6,99.3
98,House,1,14653,1,99.9
98,House,1,14654,6,98.4
98,House,1,14655,6,99.8
98,House,1,14656,1,100.0
98,House,1,14657,6,100.0
98,House,1,14658,1,100.0
98,House,1,14659,1,96.6
98,House,1,14660,6,99.6
98,House,1,14661,6,92.7
98,House,1,14662,6,100.0
98,House,1,14664,1,98.5
98,House,1,14666,9,100.0
98,House,1,14667,1,100.0
98,House,1,14668,6,100.0
98,House,1,14669,9,99.9
98,House,1,14670,6,99.9
98,House,1,14671,6,49.3
98,House,1,14672,1,99.9
98,House,1,14673,1,99.8
98,House,1,14675,6,100.0
98,House,1,14677,6,99.7
98,House,1,14679,1,93.8
98,House,1,14681,1,100.0
98,House,1,14802,6,99.8
98,House,1,14803,6,100.0
98,House,1,14805,6,100.0
98,House,1,14806,9,99.9
98,House,1,14808,1,100.0
98,House,1,14809,6,100.0
98,House,1,14810,6,100.0
98,House,1,14812,1,99.9
98,House,1,14813,6,100.0
98,House,1,14815,1,100.0
98,House,1,14816,1,100.0
98,House,1,14817,1,99.5
98,House,1,14818,1,99.1
98,House,1,14819,6,99.5
98,House,1,14820,6,100.0
98,House,1,14821,6,99.8
98,House,1,14822,6,100.0
98,House,1,14823,1,100.0
98,House,1,14824,1,100.0
98,House,1,14825,1,99.9
98,House,1,14826,6,100.0
98,House,1,14827,6,97.2
98,House,1,14828,1,94.1
98,House,1,14829,6,99.9
98,House,1,14830,6,99.9
98,House,1,14831,1,100.0
98,House,1,14833,1,99.9
98,House,1,14834,6,100.0
98,House,1,14835,6,99.9
98,House,1,14837,1,100.0
98,House,1,14839,6,99.8
98,House,1,14840,6,97.9
98,House,1,14841,6,100.0
98,House,1,14842,6,99.8
98,House,1,14843,1,99.1
98,House,1,14844,6,98.9
98,House,1,14845,6,98.3
98,House,1,14846,6,99.7
98,House,1,14847,6,87.4
98,House,1,14850,1,99.3
98,House,1,14852,6,99.9
98,House,1,14853,1,2.4
98,House,1,14854,6,97.4
98,House,1,14855,6,99.2
98,House,1,14856,1,100.0
98,House,1,14857,6,76.6
98,House,1,14858,1,99.8
98,House,1,14860,6,99.1
98,House,1,14861,6,97.6
98,House,1,14863,6,92.8
98,House,1,14864,6,100.0
98,House,1,14866,1,99.6
98,House,1,14868,6,100.0
98,House,1,14869,6,99.2
98,House,1,14870,6,93.2
98,House,1,14871,1,99.5
98,House,1,14872,6,99.9
98,House,1,14873,1,100.0
98,House,1,14874,1,100.0
98,House,1,14875,6,99.8
98,House,1,14877,1,100.0
98,House,1,14879,1,100.0
98,House,1,14880,1,100.0
98,House,1,15000,9,100.0
98,House,1,15001,1,99.5
98,House,1,15002,6,99.7
98,House,1,15003,6,87.0
98,House,1,15004,1,95.5
98,House,1,15005,1,100.0
98,House,1,15006,6,99.9
98,House,1,15007,6,97.3
98,House,1,15008,1,100.0
98,House,1,15009,1,99.9
98,House,1,15010,1,100.0
98,House,1,15011,1,100.0
98,House,1,15012,1,99.6
98,House,1,15013,1,100.0
98,House,1,15014,6,100.0
98,House,1,15015,1,97.1
98,House,1,15016,6,99.9
98,House,1,15017,1,99.7
98,House,1,15018,1,100.0
98,House,1,15019,1,98.6
98,House,1,15020,6,99.8
98,House,1,15021,1,99.9
98,House,1,15022,1,97.8
98,House,1,15023,1,100.0
98,House,1,15024,1,99.8
98,House,1,15025,6,93.8
98,House,1,15026,6,100.0
98,House,1,15027,1,100.0
98,House,1,15028,6,95.3
98,House,1,15029,1,100.0
98,House,1,15030,6,98.3
98,House,1,15031,1,100.0
98,House,1,15032,1,99.9
98,House,1,15033,1,100.0
98,House,1,15034,1,100.0
98,House,1,15035,6,100.0
98,House,1,15036,1,99.8
98,House,1,15037,6,100.0
98,House,1,15038,1,95.5
98,House,1,15039,6,100.0
98,House,1,15040,6,100.0
98,House,1,15041,1,100.0
98,House,1,15042,6,98.7
98,House,1,15043,1,100.0
98,House,1,15044,1,99.4
98,House,1,15045,1,99.7
98,House,1,15046,1,99.9
98,House,1,15047,6,99.9
98,House,1,15048,1,97.4
98,House,1,15049,1,100.0
98,House,1,15050,1,100.0
98,House,1,15051,6,99.4
98,House,1,15052,1,51.5
98,House,1,15053,1,93.1
98,House,1,15054,1,100.0
98,House,1,15055,1,100.0
98,House,1,15056,6,99.5
98,House,1,15057,1,99.8
98,House,1,15059,1,69.3
98,House,1,15060,1,99.6
98,House,1,15061,1,94.2
98,House,1,15062,1,100.0
98,House,1,15063,6,99.9
98,House,1,15064,1,100.0
98,House,1,15065,1,100.0
98,House,1,15066,6,99.9
98,House,1,15068,1,99.1
98,House,1,15069,1,99.9
98,House,1,15070,1,100.0
98,House,1,15071,1,99.8
98,House,1,15072,1,100.0
